6 3
7 3
-0.5 0.5 0
-0.3 0.5 0
-0.1 0.5 0
0.1 0.5 0
0.3 0.5 0
0.5 0.5 0
-0.5 0.333333 0
-0.3 0.333333 0
0.259375 0.214193 0.00390625
0.1 0.333333 0
0.3 0.333333 0
0.5 0.333333 0
-0.5 0.166667 0
-0.3 0.166667 0
-0.1 0.166667 0
0.1 0.166667 0
0.3 0.166667 0
0.5 0.166667 0
-0.5 0 0
-0.3 0 0
-0.1 0 0
0.1 0 -0.583984
0.3 0 0
0.859375 -0.119141 0.306641
-0.5 -0.166667 0
-0.3 -0.166667 0
-0.1 -0.166667 0
0.1 -0.166667 0
0.3 -0.166667 0
0.5 -0.166667 0
-0.5 -0.333333 0
-0.3 -0.333333 0
-0.1 -0.333333 0
0.1 -0.333333 0
0.3 -0.333333 0
0.5 -0.333333 0
-0.5 -0.5 0
-0.3 -0.5 0
-0.1 -0.5 0
0.1 -0.5 0
0.3 -0.5 -0.197266
0.5 -0.5 0
